SWV ITM Data Console - ITM Port: 0
imestamp, output_voltage, angular_velocity 
0.800000, 0.000000, 0.000000
0.810000, 0.000000, 0.000000
0.820000, 0.000000, 0.000000
0.830000, 0.000000, 0.000000
0.840000, 0.000000, 0.000000
0.850000, 0.000000, 0.000000
0.860000, 0.000000, 0.000000
0.870000, 0.000000, 0.000000
0.880000, 0.000000, 0.000000
0.890000, 0.000000, 0.000000
0.900000, 0.000000, 0.000000
0.910000, 0.000000, 0.000000
0.920000, 0.000000, 0.000000
0.930000, 0.000000, 0.000000
0.940000, 0.000000, 0.000000
0.950000, 0.000000, 0.000000
0.960000, 0.000000, 0.000000
0.970000, 0.000000, 0.000000
0.980000, 0.000000, 0.000000
0.990000, 0.000000, 0.000000
1.000000, 0.000000, 0.000000
1.010000, 1.000000, 1.570796
1.020000, 1.000000, 4.123340
1.030000, 1.000000, 5.890486
1.040000, 1.000000, 7.461283
1.050000, 1.000000, 8.639380
1.060000, 1.000000, 9.621128
1.070000, 1.000000, 10.210176
1.080000, 1.000000, 10.995574
1.090000, 1.000000, 11.388273
1.100000, 1.000000, 11.780972
1.110000, 1.000000, 12.173672
1.120000, -6.317055, 11.780972
1.130000, 1.000000, 11.977322
1.140000, 1.000000, 12.173672
1.150000, -0.102172, 11.780972
1.160000, 1.000000, 11.977322
1.170000, -5.412514, 12.370021
1.180000, 0.031346, 11.584623
1.190000, 1.000000, 11.780972
1.200000, -5.278996, 12.173672
1.210000, 1.000000, 11.780972
1.220000, 1.000000, 11.977322
1.230000, -9.038985, 12.173672
1.240000, -8.113129, 11.780972
1.250000, 1.000000, 11.780972
1.260000, 1.000000, 12.173672
1.270000, -22.472485, 11.977322
1.280000, 1.000000, 11.584623
1.290000, 1.000000, 12.173672
1.300000, -28.329906, 12.173672
1.310000, 1.000000, 11.584623
1.320000, 1.000000, 11.780972
1.330000, -12.441512, 12.370021
1.340000, 1.000000, 11.584623
1.350000, 1.000000, 11.977322
1.360000, -0.537050, 12.173672
1.370000, -8.113129, 11.780972
1.380000, 1.000000, 11.780972
1.390000, 1.000000, 12.173672
1.400000, -22.472485, 11.977322
1.410000, 1.000000, 11.584623
1.420000, 1.000000, 11.977322
1.430000, -24.569918, 12.173672
1.440000, 1.000000, 11.584623
1.450000, 1.000000, 11.780972
1.460000, -4.788017, 12.173672
1.470000, 0.388807, 11.780972
1.480000, 1.000000, 11.780972
1.490000, 1.000000, 12.173672
1.500000, -17.597021, 11.780972
1.510000, 1.000000, 11.780972
1.520000, 1.000000, 11.977322
1.530000, -18.846014, 12.173672
1.540000, 1.000000, 11.780972
1.550000, 1.000000, 11.977322
1.560000, -16.067984, 12.173672
1.570000, 1.000000, 11.584623
1.580000, 1.000000, 11.780972
1.590000, 1.000000, 12.173672
1.600000, -12.855075, 11.780972
1.610000, 1.000000, 11.584623
1.620000, 1.000000, 11.977322
1.630000, -14.461529, 11.977322
1.640000, 1.000000, 11.584623
1.650000, 1.000000, 11.977322
1.660000, -16.067984, 12.173672
1.670000, 1.000000, 11.584623
1.680000, 1.000000, 11.780972
1.690000, -4.921535, 12.370021
1.700000, -16.615063, 11.780972
1.710000, 1.000000, 11.780972
1.720000, 1.000000, 12.173672
1.730000, -23.454443, 11.977322
1.740000, 1.000000, 11.584623
1.750000, 1.000000, 11.977322
1.760000, -16.067984, 12.173672
1.770000, 1.000000, 11.584623
1.780000, 1.000000, 11.780972
1.790000, -8.548006, 12.173672
1.800000, -7.622149, 11.780972
1.810000, 1.000000, 11.780972
1.820000, 1.000000, 12.173672
1.830000, -18.087999, 11.780972
1.840000, 1.000000, 11.584623
1.850000, 1.000000, 11.977322
1.860000, -23.587961, 12.173672
1.870000, 1.000000, 11.780972
1.880000, 1.000000, 11.977322
1.890000, -16.067984, 12.173672
1.900000, 1.000000, 11.584623
1.910000, 1.000000, 11.780972
1.920000, 1.000000, 12.173672
1.930000, -17.239559, 11.977322
1.940000, 1.000000, 11.780972
1.950000, 1.000000, 12.173672
1.960000, -21.981506, 11.977322
1.970000, 1.000000, 11.584623
1.980000, 1.000000, 12.173672
1.990000, -15.443487, 11.977322
2.000000, 1.000000, 11.780972
2.010000, 1.000000, 12.173672
2.020000, -11.326037, 12.173672
2.030000, 1.000000, 11.584623
2.040000, 1.000000, 11.780972
2.050000, 1.000000, 12.173672
2.060000, -13.479571, 11.977322
2.070000, 1.000000, 11.780972
2.080000, 1.000000, 11.977322
2.090000, -19.336994, 12.173672
2.100000, 1.000000, 11.584623
2.110000, 1.000000, 11.977322
2.120000, -5.769975, 12.173672
2.130000, -13.346054, 11.780972
2.140000, 1.000000, 11.584623
2.150000, 1.000000, 11.977322
2.160000, -14.461529, 11.977322
